N,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1,"[62, 35, 20, 10]",31.75,19.60070151805797,"[11.6, 8.494338052642629, 8.086667130210122, 7.992136595840553]",9.043285444673327,1.4881334834790072,"[1.0, 0.8013526464757198, 0.6853107737466206, 0.614779738141581]",0.7753607895909804
2,"[103, 95, 65, 50]",78.25,21.602951187279945,"[27.4, 26.18435115905226, 25.11939149214292, 24.826992202037324]",25.882683713308126,1.011230876647705,"[1.0, 0.9626599690828037, 0.8486280909507743, 0.7906685414661568]",0.9004891503749337
3,"[119, 119, 100, 80]",104.5,16.132265804901678,"[46.280308802703836, 46.280308802703836, 45.19523028686603, 44.690539333071904]",45.6115968063364,0.6921089899292764,"[0.9805150170064372, 0.9805150170064372, 0.9261317681734842, 0.8728620963490605]",0.9400059746338547
4,"[119, 119, 115, 100]",113.25,7.8222439235810075,"[67.26442262939717, 67.26442262939717, 66.92535810995508, 66.18345797545132]",66.90941533605019,0.44139795482834016,"[0.9581826585384212, 0.9581826585384212, 0.9479512480163611, 0.9141361598819243]",0.9446131812437819
5,"[119, 119, 117, 117]",118.0,1.0,"[88.94310067426278, 88.94310067426278, 88.62770651346128, 88.62770651346128]",88.78540359386201,0.1576970804007516,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
6,"[119, 119, 117, 117]",118.0,1.0,"[111.70039722204857, 111.70039722204857, 111.25605711264288, 111.25605711264288]",111.47822716734572,0.22217005470284334,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
7,"[119, 119, 117, 117]",118.0,1.0,"[134.45769376983435, 134.45769376983435, 133.88440771182448, 133.88440771182448]",134.1710507408294,0.2866430290049351,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
8,"[119, 119, 117, 117]",118.0,1.0,"[157.21499031762013, 157.21499031762013, 156.51275831100608, 156.51275831100608]",156.8638743143131,0.35111600330702686,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
9,"[119, 119, 117, 117]",118.0,1.0,"[179.97228686540592, 179.97228686540592, 179.14110891018768, 179.14110891018768]",179.5566978877968,0.41558897760911856,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
10,"[119, 119, 117, 117]",118.0,1.0,"[202.72958341319173, 202.72958341319173, 201.76945950936928, 201.76945950936928]",202.24952146128052,0.4800619519112246,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
