n,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
1,[40],40.0,0.0,[232.0],232.0,0.0,[1.0],1.0
2,"[80, 80]",80.0,0.0,"[224.0, 224.0]",224.0,0.0,"[1.0, 1.0]",1.0
3,"[119, 118, 118]",118.33333333333333,0.4714045207910317,"[216.2, 215.3986656782802, 215.3986656782802]",215.66577711885347,0.3777526219237254,"[1.0, 0.9962935507783544, 0.9962935507783544]",0.9975290338522362
4,"[119, 119, 117, 117]",118.0,1.0,"[202.72958341319173, 202.72958341319173, 201.76945950936928, 201.76945950936928]",202.24952146128052,0.4800619519112246,"[0.9482206894910744, 0.9482206894910744, 0.9428479416325668, 0.9428479416325668]",0.9455343155618205
5,"[119, 119, 117, 117, 117]",117.8,0.9797958971132712,"[192.9299113352082, 192.9299113352082, 191.65340401796254, 191.65340401796254, 191.65340401796254]",192.1640069448608,0.6253583160361831,"[0.9083329158908107, 0.9083329158908107, 0.901474148720426, 0.901474148720426, 0.901474148720426]",0.9042176555885799
6,"[119, 119, 119, 119, 116, 116]",118.0,1.4142135623730951,"[184.5797911167999, 184.5797911167999, 184.5797911167999, 184.5797911167999, 183.34754809821567, 183.34754809821567]",184.16904344393848,0.5808849296737922,"[0.8731305161627242, 0.8731305161627242, 0.8731305161627242, 0.8731305161627242, 0.8656635887545593, 0.8656635887545593]",0.8706415403600025
7,"[120, 120, 120, 120, 120, 120, 120]",120.0,0.0,"[180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0]",180.0,0.0,"[1, 1, 1, 1, 1, 1, 1]",1.0
8,"[120, 120, 120, 120, 120, 120, 120, 120]",120.0,0.0,"[180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0]",180.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1]",1.0
9,"[120, 120, 120, 120, 120, 120, 120, 120, 120]",120.0,0.0,"[180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0, 180.0]",180.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
